age,speed_limit,restraint,light,vehicle_age,rural,body_class,y
42,55,unrestrained,dark_unlighted,18,Y,van,3
30,70,belted,daylight,15,N,pickup,2
61,70,belted,daylight,8,Y,pickup,2
30,30,belted,dawn,3,N,motorcycle,2
83,40,belted,dawn,5,Y,pickup,3
46,75,belted,daylight,8,N,passenger_car,2
85,40,belted,daylight,9,N,van,2
79,55,belted,dark_lighted,22,N,van,2
22,55,belted,dawn,2,N,motorcycle,1
73,75,belted,dark_lighted,20,N,motorcycle,4
18,65,belted,daylight,11,Y,pickup,2
67,75,belted,dusk,2,N,motorcycle,1
61,55,belted,dusk,1,N,suv,1
21,55,belted,dark_unlighted,10,N,motorcycle,2
50,30,belted,dawn,24,N,motorcycle,2
75,40,belted,dusk,12,N,passenger_car,1
19,55,unrestrained,dawn,12,Y,suv,1
43,55,belted,dark_lighted,24,N,van,1
26,70,unrestrained,dark_unlighted,10,N,suv,3
18,55,belted,dark_unlighted,10,N,passenger_car,1
29,75,belted,daylight,12,N,motorcycle,2
17,30,belted,daylight,5,N,passenger_car,1
23,70,belted,dusk,17,Y,motorcycle,2
83,40,belted,dark_unlighted,1,N,pickup,1
51,75,belted,daylight,17,Y,pickup,2
25,75,unrestrained,dawn,15,Y,passenger_car,2
65,55,unrestrained,dark_unlighted,11,N,motorcycle,3
68,30,unrestrained,dusk,9,Y,van,3
28,70,belted,dark_unlighted,22,N,van,2
68,70,belted,dark_unlighted,20,Y,pickup,3
74,70,belted,daylight,7,N,pickup,1
49,65,unrestrained,dawn,9,N,passenger_car,3
41,75,belted,dark_lighted,25,N,motorcycle,2
64,70,unrestrained,dark_lighted,18,Y,suv,4
27,55,belted,dark_unlighted,14,N,suv,1
68,65,belted,dawn,8,Y,van,1
21,40,belted,dark_lighted,20,N,van,1
61,75,unrestrained,dusk,3,Y,pickup,3
23,40,belted,dusk,7,N,motorcycle,2
78,40,belted,dark_lighted,10,Y,motorcycle,3
60,30,belted,dusk,15,Y,passenger_car,1
16,70,belted,dark_unlighted,15,N,van,1
19,70,unrestrained,dark_unlighted,22,N,suv,2
24,40,unrestrained,dawn,5,N,passenger_car,2
59,40,belted,dusk,7,N,motorcycle,3
37,65,belted,daylight,22,Y,suv,2
46,55,belted,daylight,25,N,passenger_car,1
82,65,unrestrained,dusk,21,Y,van,3
69,55,belted,dawn,9,N,suv,2
40,70,belted,daylight,22,Y,suv,2
52,55,belted,dark_unlighted,4,N,motorcycle,2
23,55,belted,daylight,14,N,motorcycle,2
54,75,belted,dark_unlighted,8,N,passenger_car,3
40,65,belted,daylight,5,Y,pickup,1
28,70,unrestrained,dark_unlighted,12,Y,passenger_car,3
85,75,belted,dusk,12,Y,van,3
64,55,belted,dawn,10,N,van,1
27,75,belted,dark_lighted,2,Y,van,1
32,55,belted,dawn,17,Y,van,2
63,75,belted,dusk,22,N,pickup,1
45,75,belted,dawn,10,N,passenger_car,1
27,70,unrestrained,dawn,17,Y,passenger_car,3
44,30,belted,daylight,11,Y,van,1
20,65,unrestrained,dusk,5,N,passenger_car,2
34,65,belted,dusk,19,N,suv,1
84,30,belted,daylight,24,Y,motorcycle,3
72,30,belted,dark_lighted,6,Y,suv,1
19,70,belted,dawn,22,Y,pickup,1
37,40,belted,daylight,18,Y,passenger_car,1
83,65,belted,dawn,23,Y,pickup,1
44,65,belted,dark_lighted,5,N,van,2
40,30,belted,dark_unlighted,10,Y,van,1
46,30,belted,dusk,13,Y,suv,1
50,55,belted,daylight,20,N,suv,1
69,70,belted,dusk,14,Y,pickup,2
33,70,belted,dusk,18,Y,suv,3
55,70,belted,daylight,12,N,suv,1
78,30,belted,dark_unlighted,3,N,suv,1
36,30,belted,dark_unlighted,4,Y,passenger_car,2
68,70,belted,dark_lighted,6,N,suv,2
46,55,belted,dark_lighted,15,Y,pickup,1
84,65,belted,dawn,8,Y,pickup,2
30,30,unrestrained,dawn,9,Y,motorcycle,2
69,65,unrestrained,dark_lighted,13,Y,suv,2
79,30,belted,dark_lighted,17,N,suv,1
41,55,unrestrained,daylight,12,N,passenger_car,1
66,30,belted,dawn,8,Y,passenger_car,2
23,75,belted,dark_unlighted,13,N,passenger_car,1
39,40,belted,dawn,14,N,passenger_car,1
77,30,belted,dusk,24,Y,van,1
71,75,belted,daylight,5,Y,van,2
62,75,belted,dark_lighted,4,N,motorcycle,3
58,75,belted,dark_lighted,8,Y,van,2
51,75,belted,daylight,17,N,motorcycle,3
58,40,belted,daylight,2,N,pickup,1
26,30,belted,dark_lighted,19,Y,motorcycle,1
41,30,unrestrained,daylight,4,Y,motorcycle,2
36,55,unrestrained,dusk,25,N,motorcycle,2
32,70,unrestrained,dawn,19,N,suv,1
25,75,belted,dusk,17,N,van,1
68,65,belted,dusk,24,N,passenger_car,3
57,65,belted,daylight,18,N,suv,1
81,40,belted,dark_unlighted,15,N,passenger_car,1
41,40,belted,dusk,12,N,motorcycle,2
38,55,belted,dusk,19,N,passenger_car,1
29,70,belted,dark_unlighted,11,Y,pickup,1
36,30,belted,daylight,12,N,suv,1
59,70,belted,daylight,5,Y,suv,2
78,30,belted,dark_lighted,25,N,van,1
52,75,belted,dawn,9,N,van,2
31,30,belted,dark_lighted,21,N,motorcycle,1
35,75,belted,dusk,19,N,pickup,1
57,55,belted,daylight,4,N,van,1
78,30,belted,daylight,2,Y,pickup,1
35,70,belted,dark_lighted,21,N,suv,1
68,75,belted,dark_lighted,5,N,suv,2
51,55,belted,dark_lighted,10,N,van,2
42,75,unrestrained,dark_lighted,17,Y,suv,3
78,40,belted,dark_unlighted,22,N,passenger_car,1
67,30,belted,dark_lighted,25,Y,passenger_car,1
27,65,unrestrained,dark_unlighted,18,N,pickup,3
63,75,unrestrained,dark_unlighted,5,N,van,4
51,75,belted,daylight,5,N,passenger_car,1
38,55,belted,dark_unlighted,25,Y,passenger_car,3
65,75,belted,dark_lighted,3,N,passenger_car,2
40,30,belted,dawn,4,N,van,1
27,30,belted,daylight,23,Y,pickup,1
70,55,belted,dusk,5,Y,pickup,2
17,30,unrestrained,dusk,8,N,suv,1
63,65,unrestrained,daylight,24,Y,van,2
73,55,belted,dark_lighted,25,N,passenger_car,1
51,55,belted,dawn,17,N,suv,1
30,30,belted,dark_lighted,10,N,van,1
85,30,belted,dark_lighted,24,N,motorcycle,1
83,65,belted,dark_lighted,21,Y,suv,2
36,30,belted,dark_unlighted,8,N,motorcycle,2
26,75,unrestrained,dark_unlighted,22,Y,passenger_car,2
57,75,belted,daylight,2,N,passenger_car,1
56,30,belted,dark_unlighted,1,Y,motorcycle,2
67,65,belted,dusk,17,N,pickup,1
70,40,belted,dark_lighted,12,Y,motorcycle,2
25,40,belted,dawn,20,N,pickup,1
26,40,belted,daylight,5,N,van,1
44,40,belted,dusk,19,N,passenger_car,1
30,70,belted,dark_unlighted,18,N,passenger_car,2
52,30,unrestrained,dark_unlighted,19,Y,suv,3
75,70,belted,dawn,7,N,van,1
24,30,unrestrained,dawn,7,N,suv,2
17,65,unrestrained,dawn,8,Y,pickup,3
77,70,belted,dusk,20,Y,motorcycle,3
85,65,belted,dark_lighted,24,Y,van,2
50,55,belted,dark_lighted,18,N,suv,1
86,30,belted,daylight,2,N,pickup,1
17,30,belted,dusk,7,Y,motorcycle,1
50,70,belted,dawn,14,N,suv,2
78,55,belted,dawn,24,N,motorcycle,3
48,70,unrestrained,daylight,2,Y,pickup,2
74,40,belted,daylight,22,N,passenger_car,1
34,70,belted,dusk,5,N,passenger_car,2
40,55,belted,dark_lighted,23,Y,suv,2
47,55,belted,daylight,12,N,passenger_car,1
67,70,unrestrained,dusk,6,N,suv,2
60,65,unrestrained,dark_lighted,15,N,motorcycle,4
40,75,unrestrained,dark_lighted,22,N,suv,3
72,65,belted,dusk,19,N,pickup,3
20,65,belted,dawn,10,N,van,2
32,65,belted,daylight,14,Y,passenger_car,1
54,30,belted,dark_lighted,12,N,motorcycle,1
78,55,belted,dusk,21,N,pickup,1
78,40,belted,dark_unlighted,19,N,passenger_car,2
37,40,belted,daylight,21,N,pickup,2
36,75,belted,dusk,3,Y,van,2
45,65,belted,daylight,23,N,van,1
26,65,belted,daylight,22,Y,passenger_car,2
49,75,belted,dawn,1,Y,pickup,1
21,75,belted,dusk,14,Y,pickup,2
34,55,belted,dark_unlighted,21,N,passenger_car,2
24,65,belted,dawn,5,N,pickup,1
45,55,belted,daylight,7,Y,suv,1
65,55,unrestrained,dusk,18,Y,suv,2
67,70,belted,dark_unlighted,7,N,pickup,1
75,65,belted,dark_lighted,8,Y,van,1
83,55,belted,dark_lighted,10,Y,suv,3
25,70,belted,dawn,22,Y,passenger_car,2
49,70,belted,dark_lighted,20,N,suv,1
55,70,belted,dusk,21,N,passenger_car,1
19,70,unrestrained,dark_unlighted,3,N,passenger_car,1
72,30,belted,dark_unlighted,17,Y,van,3
59,65,belted,daylight,23,N,pickup,1
30,65,belted,dark_unlighted,23,N,passenger_car,1
72,70,belted,dark_lighted,17,N,suv,3
74,40,belted,dark_lighted,2,N,motorcycle,1
19,55,belted,dusk,12,N,pickup,1
19,30,belted,dark_lighted,18,N,pickup,1
71,40,belted,dark_lighted,2,N,suv,2
17,40,belted,dusk,22,Y,passenger_car,1
25,30,belted,dark_lighted,8,Y,van,2
48,75,belted,dark_unlighted,6,Y,suv,3
67,40,belted,dusk,16,N,motorcycle,2
26,30,belted,dark_unlighted,25,N,passenger_car,1
17,40,belted,dawn,18,N,suv,1
86,65,belted,daylight,3,Y,motorcycle,4
46,30,belted,dusk,13,N,van,1
18,75,unrestrained,dawn,12,Y,van,2
22,40,belted,dusk,5,N,van,1
30,40,belted,dawn,25,N,motorcycle,2
45,75,belted,dusk,3,Y,van,3
41,40,belted,dark_unlighted,20,Y,suv,2
36,70,unrestrained,dark_lighted,19,N,motorcycle,3
64,70,belted,dark_unlighted,8,N,suv,2
25,65,belted,dark_lighted,16,Y,motorcycle,3
58,70,belted,dark_lighted,20,N,van,3
26,40,belted,dark_lighted,15,N,passenger_car,1
73,40,belted,daylight,18,N,pickup,1
22,70,belted,dawn,21,Y,pickup,2
78,30,belted,dark_unlighted,23,N,passenger_car,2
43,55,unrestrained,dark_unlighted,18,N,pickup,2
60,75,belted,dusk,22,N,pickup,1
65,75,belted,dawn,9,Y,van,2
21,40,belted,daylight,1,N,suv,1
23,40,belted,daylight,8,N,van,1
34,75,unrestrained,dark_unlighted,23,Y,pickup,3
84,30,belted,daylight,22,Y,passenger_car,1
33,40,belted,dark_lighted,6,N,van,1
18,65,belted,dark_lighted,23,N,passenger_car,1
22,40,belted,dusk,23,N,van,1
51,75,unrestrained,dark_unlighted,4,Y,pickup,3
74,40,belted,dawn,21,N,pickup,1
70,70,belted,dark_unlighted,19,N,motorcycle,2
60,40,belted,dawn,13,N,motorcycle,3
51,75,unrestrained,dark_lighted,12,N,van,2
70,30,belted,dark_lighted,24,Y,pickup,3
35,75,unrestrained,dark_lighted,15,Y,suv,4
28,65,belted,dark_lighted,6,N,passenger_car,1
29,40,belted,dawn,17,N,passenger_car,1
34,65,unrestrained,daylight,25,N,van,2
20,65,unrestrained,dark_lighted,9,Y,passenger_car,2
24,40,unrestrained,dark_unlighted,19,N,pickup,2
61,30,unrestrained,dark_lighted,15,N,pickup,2
50,40,belted,dusk,1,Y,van,1
83,30,belted,dusk,22,Y,van,2
57,30,belted,dawn,16,N,motorcycle,2
64,55,unrestrained,dusk,22,Y,passenger_car,4
56,75,unrestrained,dusk,12,Y,motorcycle,5
75,65,belted,dark_unlighted,5,Y,passenger_car,2
56,75,belted,dark_unlighted,6,N,passenger_car,2
67,70,unrestrained,dark_unlighted,5,N,van,2
63,40,belted,daylight,14,N,van,1
19,70,belted,daylight,13,Y,passenger_car,3
17,30,belted,dawn,1,N,passenger_car,1
19,75,belted,dark_lighted,14,Y,passenger_car,1
31,40,belted,dark_lighted,21,N,van,1
24,55,belted,dark_unlighted,12,N,pickup,2
81,55,belted,dusk,14,N,passenger_car,2
77,75,belted,dawn,25,N,passenger_car,2
78,70,belted,dawn,22,N,suv,1
61,65,belted,dark_lighted,14,Y,pickup,1
32,75,belted,daylight,11,N,motorcycle,1
29,55,belted,dark_unlighted,15,Y,van,2
82,70,belted,dusk,8,Y,van,2
69,55,belted,daylight,17,N,pickup,2
36,75,belted,dawn,18,N,suv,2
63,40,belted,dark_lighted,10,N,pickup,1
61,40,unrestrained,dawn,17,Y,motorcycle,4
32,30,belted,daylight,2,N,pickup,1
63,40,belted,dawn,14,N,motorcycle,1
64,55,unrestrained,dark_lighted,7,N,motorcycle,3
81,65,belted,dawn,15,Y,passenger_car,3
59,70,belted,dark_lighted,10,N,van,2
51,70,belted,daylight,21,N,pickup,2
74,55,unrestrained,dark_lighted,3,Y,motorcycle,4
69,70,unrestrained,daylight,16,Y,pickup,3
54,75,belted,daylight,8,Y,suv,2
42,70,belted,dark_unlighted,10,Y,suv,2
41,30,belted,dusk,19,N,pickup,1
36,55,belted,dawn,13,N,van,2
46,30,belted,dark_unlighted,19,N,pickup,1
47,55,belted,dusk,11,N,motorcycle,2
68,55,belted,dark_unlighted,23,N,suv,1
19,65,belted,dawn,18,Y,van,2
84,30,belted,daylight,25,Y,suv,3
40,65,belted,dark_unlighted,17,N,pickup,1
54,75,belted,daylight,14,Y,pickup,2
48,40,belted,dawn,9,N,van,1
34,65,belted,daylight,15,Y,pickup,3
46,55,unrestrained,dark_lighted,12,Y,passenger_car,2
25,65,unrestrained,dark_lighted,17,N,van,1
73,75,belted,dusk,20,N,pickup,3
82,75,belted,daylight,17,Y,van,3
78,55,unrestrained,daylight,5,N,pickup,2
19,30,belted,dusk,16,N,van,1
40,70,unrestrained,dawn,2,N,motorcycle,4
26,30,unrestrained,dusk,11,N,motorcycle,2
35,55,belted,dusk,16,N,van,1
26,75,belted,dawn,22,Y,suv,2
61,30,belted,daylight,9,N,van,2
63,75,belted,dark_lighted,6,N,motorcycle,3
61,40,belted,dark_unlighted,15,N,passenger_car,1
47,40,belted,dawn,18,Y,suv,1
26,70,belted,daylight,19,N,pickup,2
20,55,unrestrained,dusk,23,N,suv,1
47,30,belted,dark_unlighted,17,Y,motorcycle,1
62,30,belted,dusk,15,N,van,1
33,55,belted,daylight,9,N,motorcycle,3
80,65,belted,dark_unlighted,15,Y,suv,3
20,30,belted,dark_unlighted,6,Y,van,1
57,30,unrestrained,daylight,21,Y,motorcycle,2
40,75,belted,dawn,20,Y,van,3
37,55,belted,dark_lighted,14,N,passenger_car,1
82,55,belted,dawn,17,Y,suv,2
19,70,belted,dawn,21,N,motorcycle,3
33,65,belted,dark_lighted,8,Y,passenger_car,1
75,30,belted,dark_unlighted,9,N,pickup,1
48,30,unrestrained,dark_lighted,9,Y,van,2
83,30,belted,dark_lighted,19,N,motorcycle,3
77,30,unrestrained,dusk,13,N,pickup,2
26,65,belted,dark_unlighted,20,N,passenger_car,1
80,75,unrestrained,daylight,2,N,passenger_car,2
28,40,belted,daylight,12,N,pickup,1
16,40,belted,dawn,9,Y,motorcycle,2
79,40,belted,daylight,25,Y,pickup,2
22,30,unrestrained,dawn,14,N,pickup,2
56,75,unrestrained,dark_lighted,12,N,motorcycle,4
24,55,belted,dusk,11,N,motorcycle,1
83,55,belted,dusk,14,N,motorcycle,3
45,55,belted,dark_lighted,5,N,motorcycle,1
75,75,belted,dark_lighted,23,Y,passenger_car,2
47,65,belted,dusk,11,N,van,2
51,55,belted,dusk,9,N,pickup,1
83,30,unrestrained,dark_lighted,23,N,suv,1
35,30,belted,dark_unlighted,24,N,motorcycle,3
25,40,belted,dark_unlighted,17,N,van,1
68,40,belted,dusk,2,N,van,1
19,65,belted,dark_lighted,22,N,passenger_car,1
84,30,belted,dawn,23,Y,suv,1
47,30,belted,daylight,24,Y,pickup,1
38,40,unrestrained,daylight,18,N,pickup,1
78,55,belted,dawn,16,Y,van,2
81,75,belted,dawn,11,N,van,1
19,40,belted,dark_unlighted,19,Y,van,1
79,65,belted,dark_lighted,10,N,suv,1
52,75,unrestrained,dark_lighted,16,Y,pickup,2
48,65,belted,daylight,11,N,van,1
42,55,unrestrained,dusk,24,N,van,1
35,40,belted,dark_lighted,10,Y,passenger_car,2
38,55,belted,dark_unlighted,8,Y,pickup,2
47,40,unrestrained,dusk,6,N,motorcycle,3
54,40,belted,dawn,19,N,suv,1
58,30,belted,daylight,21,N,suv,1
33,40,belted,dusk,21,N,pickup,1
24,30,belted,dark_unlighted,22,Y,motorcycle,2
33,55,unrestrained,dusk,16,N,van,2
43,75,belted,dark_unlighted,5,Y,motorcycle,2
29,70,belted,daylight,15,N,motorcycle,3
45,40,belted,dark_unlighted,8,N,passenger_car,1
21,70,belted,dusk,4,Y,van,1
69,30,belted,dark_lighted,10,N,passenger_car,1
32,40,belted,daylight,18,Y,suv,2
35,30,belted,dark_lighted,11,Y,van,2
57,75,belted,dusk,5,Y,suv,3
58,75,belted,daylight,16,N,pickup,1
52,30,belted,dawn,7,Y,suv,2
25,55,belted,dawn,3,N,passenger_car,1
25,40,unrestrained,dark_lighted,21,N,pickup,1
26,75,belted,dawn,23,Y,suv,1
31,40,belted,dark_lighted,23,Y,pickup,2
64,55,belted,dark_lighted,15,N,motorcycle,2
75,30,belted,daylight,22,Y,van,2
18,30,belted,dark_unlighted,20,N,suv,1
21,30,belted,dark_unlighted,5,Y,passenger_car,2
31,70,belted,daylight,16,N,pickup,1
72,40,belted,dark_unlighted,18,Y,motorcycle,2
42,70,belted,dark_lighted,21,Y,van,2
44,40,belted,dawn,11,N,suv,1
74,65,belted,daylight,13,Y,van,3
41,75,belted,dark_lighted,14,N,passenger_car,1
48,65,belted,dark_unlighted,22,Y,motorcycle,3
29,75,unrestrained,dark_unlighted,10,N,passenger_car,3
50,40,unrestrained,dark_lighted,15,N,motorcycle,2
77,40,belted,dark_lighted,1,N,motorcycle,1
63,55,belted,dusk,8,Y,passenger_car,1
86,40,belted,dusk,9,N,pickup,1
54,75,belted,dusk,9,Y,van,1
69,65,unrestrained,daylight,5,Y,passenger_car,3
32,40,belted,dawn,21,N,van,1
37,55,unrestrained,dawn,15,N,passenger_car,3
51,55,belted,dark_unlighted,8,N,suv,2
55,55,unrestrained,dusk,8,Y,suv,2
67,40,belted,dark_unlighted,25,N,motorcycle,2
19,30,belted,dark_unlighted,21,N,van,1
85,75,belted,dawn,16,N,passenger_car,2
19,70,belted,dusk,24,Y,pickup,2
36,70,belted,dark_unlighted,11,Y,van,2
47,70,belted,dawn,9,Y,pickup,3
34,55,unrestrained,dark_lighted,13,Y,passenger_car,3
27,40,belted,dark_lighted,1,N,van,1
27,55,belted,dark_lighted,17,Y,suv,2
75,75,unrestrained,dusk,2,Y,suv,4
22,55,belted,daylight,20,Y,motorcycle,1
29,75,belted,dawn,17,N,suv,1
69,75,belted,dark_lighted,14,N,passenger_car,3
18,30,belted,dark_unlighted,12,N,pickup,1
35,70,belted,dark_lighted,4,Y,passenger_car,1
26,30,belted,dawn,17,Y,suv,1
78,40,belted,dark_unlighted,25,N,passenger_car,1
46,55,belted,dark_lighted,8,N,motorcycle,3
19,65,belted,dark_lighted,4,Y,van,1
27,65,unrestrained,dark_lighted,5,N,pickup,2
74,70,belted,dark_lighted,8,N,pickup,1
80,65,belted,dark_unlighted,7,Y,van,3
68,65,belted,dawn,12,N,van,2
61,75,belted,dark_unlighted,25,N,pickup,2
33,65,belted,dawn,21,N,motorcycle,3
56,55,belted,dark_lighted,20,N,suv,1
31,40,belted,daylight,15,Y,pickup,1
49,30,belted,dawn,2,Y,passenger_car,1
45,75,belted,dawn,11,N,motorcycle,3
21,70,unrestrained,daylight,16,N,suv,1
40,30,belted,daylight,24,Y,passenger_car,1
60,40,belted,dawn,4,N,van,1
34,70,belted,dark_lighted,19,N,van,1
36,40,belted,dark_lighted,21,N,van,1
77,65,belted,dusk,1,Y,suv,2
58,30,unrestrained,dusk,8,N,motorcycle,3
54,30,belted,dark_lighted,9,Y,van,1
53,75,belted,dark_unlighted,18,Y,suv,2
52,30,belted,dark_lighted,4,Y,pickup,2
18,40,belted,dark_lighted,3,N,van,1
50,55,belted,dark_unlighted,18,N,suv,2
24,70,belted,dark_unlighted,19,Y,van,3
27,70,belted,dusk,2,Y,pickup,1
40,55,belted,dawn,18,N,passenger_car,2
52,55,belted,dawn,11,N,van,1
23,40,belted,dark_unlighted,3,Y,motorcycle,2
54,30,belted,dusk,20,Y,motorcycle,1
19,55,belted,dark_unlighted,19,N,passenger_car,1
85,40,belted,dusk,21,Y,pickup,1
80,70,belted,dark_lighted,18,Y,passenger_car,3
53,55,unrestrained,dark_unlighted,17,N,motorcycle,3
85,75,belted,daylight,25,N,van,1
37,75,belted,dark_unlighted,11,Y,passenger_car,2
42,55,unrestrained,daylight,7,N,van,1
31,30,belted,dusk,22,Y,suv,1
75,75,belted,dark_lighted,24,N,pickup,2
27,65,belted,dawn,6,Y,van,1
68,65,belted,dark_unlighted,24,N,passenger_car,2
46,40,unrestrained,dark_lighted,3,N,passenger_car,3
58,65,belted,dark_lighted,23,N,passenger_car,2
63,40,belted,dusk,4,N,passenger_car,1
36,40,belted,dawn,18,N,suv,1
40,55,unrestrained,dark_lighted,13,N,suv,2
36,70,belted,dawn,25,N,suv,1
71,40,belted,daylight,21,N,passenger_car,1
73,65,belted,dawn,16,N,motorcycle,2
64,65,belted,dark_lighted,13,N,passenger_car,1
71,75,belted,daylight,10,N,suv,2
77,75,belted,dark_unlighted,7,N,motorcycle,4
26,30,belted,dawn,22,Y,motorcycle,2
55,55,belted,dawn,5,N,pickup,1
61,70,belted,dark_lighted,19,N,motorcycle,2
81,55,belted,daylight,18,Y,pickup,1
63,65,belted,dark_lighted,16,N,motorcycle,2
22,40,belted,daylight,9,N,passenger_car,1
27,75,belted,dusk,2,N,pickup,2
31,70,belted,dark_unlighted,10,N,suv,2
58,70,belted,dark_lighted,4,N,suv,1
63,40,unrestrained,dusk,10,N,passenger_car,2
41,75,belted,dark_lighted,12,Y,passenger_car,3
55,55,belted,daylight,21,N,passenger_car,1
80,70,unrestrained,dark_lighted,12,N,pickup,2
52,40,belted,dark_lighted,14,Y,suv,2
76,75,belted,dawn,8,N,van,3
36,55,belted,dawn,23,Y,pickup,2
82,70,belted,dusk,25,N,pickup,1
66,55,belted,dark_unlighted,17,Y,suv,1
70,65,unrestrained,dawn,9,N,van,3
44,75,belted,dark_unlighted,4,N,pickup,1
35,30,belted,daylight,5,N,motorcycle,1
84,70,belted,daylight,19,N,suv,3
61,55,belted,dark_lighted,20,N,passenger_car,1
43,65,unrestrained,dark_unlighted,21,N,suv,3
35,40,belted,dark_unlighted,3,Y,van,2
80,55,belted,dark_unlighted,5,Y,pickup,2
38,70,unrestrained,dark_unlighted,23,Y,pickup,4
27,30,belted,dark_lighted,18,Y,passenger_car,1
16,65,unrestrained,dark_lighted,8,N,pickup,2
29,30,belted,dark_lighted,14,N,suv,1
36,75,belted,dark_unlighted,10,N,passenger_car,1
81,65,belted,dark_unlighted,18,N,passenger_car,2
42,75,belted,dark_unlighted,19,N,pickup,1
49,70,belted,dawn,13,N,van,1
